Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
1996,03,01,5.25,,,5.31,,5.5,2.8
1996,04,01,5.25,,,5.22,7.2,5.6,2.7
1996,05,01,5.25,,,5.24,,5.6,2.7
1996,06,01,5.25,,,5.27,,5.3,2.7
1996,07,01,5.25,,,5.4,3.7,5.5,2.7
1996,08,01,5.25,,,5.22,,5.1,2.6
1996,09,01,5.25,,,5.3,,5.2,2.7
1996,10,01,5.25,,,5.24,4.3,5.2,2.6
1996,11,01,5.25,,,5.31,,5.4,2.6
1996,12,01,5.25,,,5.29,,5.4,2.6
1997,01,01,5.25,,,5.25,3.1,5.3,2.5
1997,02,01,5.25,,,5.19,,5.2,2.5
1997,03,01,5.25,,,5.39,,5.2,2.5
1997,03,25,5.5,,,,,,
1997,04,01,5.5,,,5.51,6.2,5.1,2.7
1997,05,01,5.5,,,5.5,,4.9,2.5
1997,06,01,5.5,,,5.56,,5,2.4
1997,07,01,5.5,,,5.52,5.2,4.9,2.4
1997,08,01,5.5,,,5.54,,4.8,2.3
1997,09,01,5.5,,,5.54,,4.9,2.2
1997,10,01,5.5,,,5.5,3.1,4.7,2.3
1997,11,01,5.5,,,5.52,,4.6,2.2
1997,12,01,5.5,,,5.5,,4.7,2.2
1998,01,01,5.5,,,5.56,4,4.6,2.2
1998,02,01,5.5,,,5.51,,4.6,2.3
1998,03,01,5.5,,,5.49,,4.7,2.1
1998,04,01,5.5,,,5.45,3.9,4.3,2.1
1998,05,01,5.5,,,5.49,,4.4,2.2
1998,06,01,5.5,,,5.56,,4.5,2.2
1998,07,01,5.5,,,5.54,5.3,4.5,2.2
1998,08,01,5.5,,,5.55,,4.5,2.5
1998,09,01,5.5,,,5.51,,4.6,2.5
1998,09,29,5.25,,,,,,
1998,10,01,5.25,,,5.07,6.7,4.5,2.3
1998,10,15,5,,,,,,
1998,11,01,5,,,4.83,,4.4,2.3
1998,11,17,4.75,,,,,,
1998,12,01,4.75,,,4.68,,4.4,2.4
1999,01,01,4.75,,,4.63,3.2,4.3,2.4
1999,02,01,4.75,,,4.76,,4.4,2.1
1999,03,01,4.75,,,4.81,,4.2,2.1
1999,04,01,4.75,,,4.74,3.3,4.3,2.2
1999,05,01,4.75,,,4.74,,4.2,2.0
1999,06,01,4.75,,,4.76,,4.3,2.1
1999,06,30,5,,,,,,
1999,07,01,5,,,4.99,5.1,4.3,2.1
1999,08,01,5,,,5.07,,4.2,1.9
1999,08,24,5.25,,,,,,
1999,09,01,5.25,,,5.22,,4.2,2.0
1999,10,01,5.25,,,5.2,7.1,4.1,2.1
1999,11,01,5.25,,,5.42,,4.1,2.1
1999,11,16,5.5,,,,,,
1999,12,01,5.5,,,5.3,,4,1.9
2000,01,01,5.5,,,5.45,1.2,4,2.0
2000,02,01,5.5,,,5.73,,4.1,2.2
2000,02,02,5.75,,,,,,
2000,03,01,5.75,,,5.85,,4,2.4
2000,03,21,6,,,,,,
2000,04,01,6,,,6.02,7.8,3.8,2.3
2000,05,01,6,,,6.27,,4,2.4
2000,05,16,6.5,,,,,,
2000,06,01,6.5,,,6.53,,4,2.5
2000,07,01,6.5,,,6.54,0.5,4,2.5
2000,08,01,6.5,,,6.5,,4.1,2.6
2000,09,01,6.5,,,6.52,,3.9,2.6
2000,10,01,6.5,,,6.51,2.3,3.9,2.5
2000,11,01,6.5,,,6.51,,3.9,2.6
2000,12,01,6.5,,,6.4,,3.9,2.6
2001,01,01,6.5,,,5.98,-1.1,4.2,2.6
2001,01,03,6,,,,,,
2001,01,31,5.5,,,,,,
2001,02,01,5.5,,,5.49,,4.2,2.7
2001,03,01,5.5,,,5.31,,4.3,2.7
2001,03,20,5,,,,,,
2001,04,01,5,,,4.8,2.1,4.4,2.6
2001,04,18,4.5,,,,,,
2001,05,01,4.5,,,4.21,,4.3,2.5
2001,05,15,4,,,,,,
2001,06,01,4,,,3.97,,4.5,2.7
2001,06,27,3.75,,,,,,
2001,07,01,3.75,,,3.77,-1.3,4.6,2.7
2001,08,01,3.75,,,3.65,,4.9,2.7
2001,08,21,3.5,,,,,,
2001,09,01,3.5,,,3.07,,5,2.6
2001,09,17,3,,,,,,
2001,10,01,3,,,2.49,1.1,5.3,2.6
2001,10,02,2.5,,,,,,
2001,11,01,2.5,,,2.09,,5.5,2.8
2001,11,06,2,,,,,,
2001,12,01,2,,,1.82,,5.7,2.7
2001,12,11,1.75,,,,,,
2002,01,01,1.75,,,1.73,3.7,5.7,2.6
2002,02,01,1.75,,,1.74,,5.7,2.6
2002,03,01,1.75,,,1.73,,5.7,2.4
2002,04,01,1.75,,,1.75,2.2,5.9,2.5
2002,05,01,1.75,,,1.75,,5.8,2.5
2002,06,01,1.75,,,1.75,,5.8,2.3
2002,07,01,1.75,,,1.73,2,5.8,2.2
2002,08,01,1.75,,,1.74,,5.7,2.4
2002,09,01,1.75,,,1.75,,5.7,2.2
2002,10,01,1.75,,,1.75,0.3,5.7,2.2
2002,11,01,1.75,,,1.34,,5.9,2.0
2002,11,06,1.25,,,,,,
2002,12,01,1.25,,,1.24,,6,1.9
2003,01,01,1.25,,,1.24,2.1,5.8,1.9
2003,02,01,1.25,,,1.26,,5.9,1.7
2003,03,01,1.25,,,1.25,,5.9,1.7
2003,04,01,1.25,,,1.26,3.8,6,1.5
2003,05,01,1.25,,,1.26,,6.1,1.6
2003,06,01,1.25,,,1.22,,6.3,1.5
2003,06,25,1,,,,,,
2003,07,01,1,,,1.01,6.9,6.2,1.5
2003,08,01,1,,,1.03,,6.1,1.3
2003,09,01,1,,,1.01,,6.1,1.2
2003,10,01,1,,,1.01,4.8,6,1.3
2003,11,01,1,,,1,,5.8,1.1
2003,12,01,1,,,0.98,,5.7,1.1
2004,01,01,1,,,1,2.3,5.7,1.1
2004,02,01,1,,,1.01,,5.6,1.2
2004,03,01,1,,,1,,5.8,1.6
2004,04,01,1,,,1,3,5.6,1.8
2004,05,01,1,,,1,,5.6,1.7
2004,06,01,1,,,1.03,,5.6,1.9
2004,06,30,1.25,,,,,,
2004,07,01,1.25,,,1.26,3.7,5.5,1.8
2004,08,01,1.25,,,1.43,,5.4,1.7
2004,08,10,1.5,,,,,,
2004,09,01,1.5,,,1.61,,5.4,2.0
2004,09,21,1.75,,,,,,
2004,10,01,1.75,,,1.76,3.5,5.5,2.0
2004,11,01,1.75,,,1.93,,5.4,2.2
2004,11,10,2,,,,,,
2004,12,01,2,,,2.16,,5.4,2.2
2004,12,14,2.25,,,,,,
2005,01,01,2.25,,,2.28,4.3,5.3,2.3
2005,02,01,2.25,,,2.5,,5.4,2.4
2005,02,02,2.5,,,,,,
2005,03,01,2.5,,,2.63,,5.2,2.3
2005,03,22,2.75,,,,,,
2005,04,01,2.75,,,2.79,2.1,5.2,2.2
2005,05,01,2.75,,,3,,5.1,2.2
2005,05,03,3,,,,,,
2005,06,01,3,,,3.04,,5,2.0
2005,06,30,3.25,,,,,,
2005,07,01,3.25,,,3.26,3.4,5,2.1
2005,08,01,3.25,,,3.5,,4.9,2.1
2005,08,09,3.5,,,,,,
2005,09,01,3.5,,,3.62,,5,2.0
2005,09,20,3.75,,,,,,
2005,10,01,3.75,,,3.78,2.3,5,2.1
2005,11,01,4,,,4,,5,2.1
2005,12,01,4,,,4.16,,4.9,2.2
2005,12,13,4.25,,,,,,
2006,01,01,4.25,,,4.29,4.9,4.7,2.1
2006,01,31,4.5,,,,,,
2006,02,01,4.5,,,4.49,,4.8,2.1
2006,03,01,4.5,,,4.59,,4.7,2.1
2006,03,28,4.75,,,,,,
2006,04,01,4.75,,,4.79,1.2,4.7,2.3
2006,05,01,4.75,,,4.94,,4.6,2.4
2006,05,10,5,,,,,,
2006,06,01,5,,,4.99,,4.6,2.6
2006,06,29,5.25,,,,,,
2006,07,01,5.25,,,5.24,0.4,4.7,2.7
2006,08,01,5.25,,,5.25,,4.7,2.8
2006,09,01,5.25,,,5.25,,4.5,2.9
2006,10,01,5.25,,,5.25,3.2,4.4,2.7
2006,11,01,5.25,,,5.25,,4.5,2.6
2006,12,01,5.25,,,5.24,,4.4,2.6
2007,01,01,5.25,,,5.25,0.2,4.6,2.7
2007,02,01,5.25,,,5.26,,4.5,2.7
2007,03,01,5.25,,,5.26,,4.4,2.5
2007,04,01,5.25,,,5.25,3.1,4.5,2.3
2007,05,01,5.25,,,5.25,,4.4,2.2
2007,06,01,5.25,,,5.25,,4.6,2.2
2007,07,01,5.25,,,5.26,2.7,4.7,2.2
2007,08,01,5.25,,,5.02,,4.6,2.1
2007,09,01,5.25,,,4.94,,4.7,2.1
2007,09,18,4.75,,,,,,
2007,10,01,4.75,,,4.76,1.4,4.7,2.2
2007,10,31,4.5,,,,,,
2007,11,01,4.5,,,4.49,,4.7,2.3
2007,12,01,4.5,,,4.24,,5,2.4
2007,12,11,4.25,,,,,,
2008,01,01,4.25,,,3.94,-2.7,5,2.5
2008,01,22,3.5,,,,,,
2008,01,30,3,,,,,,
2008,02,01,3,,,2.98,,4.9,2.3
2008,03,01,3,,,2.61,,5.1,2.4
2008,03,18,2.25,,,,,,
2008,04,01,2.25,,,2.28,2,5,2.3
2008,04,30,2,,,,,,
2008,05,01,2,,,1.98,,5.4,2.3
2008,06,01,2,,,2,,5.6,2.4
2008,07,01,2,,,2.01,-1.9,5.8,2.5
2008,08,01,2,,,2,,6.1,2.5
2008,09,01,2,,,1.81,,6.1,2.5
2008,10,01,2,,,0.97,-8.2,6.5,2.2
2008,10,08,1.5,,,,,,
2008,10,29,1,,,,,,
2008,11,01,1,,,0.39,,6.8,2.0
2008,12,01,1,,,0.16,,7.3,1.8
2008,12,16,,0.25,0,,,,
2009,01,01,,0.25,0,0.15,-5.4,7.8,1.7
2009,02,01,,0.25,0,0.22,,8.3,1.8
2009,03,01,,0.25,0,0.18,,8.7,1.8
2009,04,01,,0.25,0,0.15,-0.5,9,1.9
2009,05,01,,0.25,0,0.18,,9.4,1.8
2009,06,01,,0.25,0,0.21,,9.5,1.7
2009,07,01,,0.25,0,0.16,1.3,9.5,1.5
2009,08,01,,0.25,0,0.16,,9.6,1.4
2009,09,01,,0.25,0,0.15,,9.8,1.5
2009,10,01,,0.25,0,0.12,3.9,10,1.7
2009,11,01,,0.25,0,0.12,,9.9,1.7
2009,12,01,,0.25,0,0.12,,9.9,1.8
2010,01,01,,0.25,0,0.11,1.7,9.8,1.6
2010,02,01,,0.25,0,0.13,,9.8,1.3
2010,03,01,,0.25,0,0.16,,9.9,1.1
2010,04,01,,0.25,0,0.2,3.9,9.9,0.9
2010,05,01,,0.25,0,0.2,,9.6,0.9
2010,06,01,,0.25,0,0.18,,9.4,0.9
2010,07,01,,0.25,0,0.18,2.7,9.4,0.9
2010,08,01,,0.25,0,0.19,,9.5,0.9
2010,09,01,,0.25,0,0.19,,9.5,0.8
2010,10,01,,0.25,0,0.19,2.5,9.4,0.6
2010,11,01,,0.25,0,0.19,,9.8,0.8
2010,12,01,,0.25,0,0.18,,9.3,0.8
2011,01,01,,0.25,0,0.17,-1.5,9.1,1.0
2011,02,01,,0.25,0,0.16,,9,1.1
2011,03,01,,0.25,0,0.14,,9,1.2
2011,04,01,,0.25,0,0.1,2.9,9.1,1.3
2011,05,01,,0.25,0,0.09,,9,1.5
2011,06,01,,0.25,0,0.09,,9.1,1.6
2011,07,01,,0.25,0,0.07,0.8,9,1.8
2011,08,01,,0.25,0,0.1,,9,2.0
2011,09,01,,0.25,0,0.08,,9,2.0
2011,10,01,,0.25,0,0.07,4.6,8.8,2.1
2011,11,01,,0.25,0,0.08,,8.6,2.2
2011,12,01,,0.25,0,0.07,,8.5,2.2
2012,01,01,,0.25,0,0.08,2.7,8.3,2.3
2012,02,01,,0.25,0,0.1,,8.3,2.2
2012,03,01,,0.25,0,0.13,,8.2,2.3
2012,04,01,,0.25,0,0.14,1.9,8.2,2.3
2012,05,01,,0.25,0,0.16,,8.2,2.3
2012,06,01,,0.25,0,0.16,,8.2,2.2
2012,07,01,,0.25,0,0.16,0.5,8.2,2.1
2012,08,01,,0.25,0,0.13,,8.1,1.9
2012,09,01,,0.25,0,0.14,,7.8,2.0
2012,10,01,,0.25,0,0.16,0.1,7.8,2.0
2012,11,01,,0.25,0,0.16,,7.7,1.9
2012,12,01,,0.25,0,0.16,,7.9,1.9
2013,01,01,,0.25,0,0.14,2.8,8,1.9
2013,02,01,,0.25,0,0.15,,7.7,2.0
2013,03,01,,0.25,0,0.14,,7.5,1.9
2013,04,01,,0.25,0,0.15,0.8,7.6,1.7
2013,05,01,,0.25,0,0.11,,7.5,1.7
2013,06,01,,0.25,0,0.09,,7.5,1.6
2013,07,01,,0.25,0,0.09,3.1,7.3,1.7
2013,08,01,,0.25,0,0.08,,7.3,1.8
2013,09,01,,0.25,0,0.08,,7.2,1.7
2013,10,01,,0.25,0,0.09,4,7.2,1.7
2013,11,01,,0.25,0,0.08,,6.9,1.7
2013,12,01,,0.25,0,0.09,,6.7,1.7
2014,01,01,,0.25,0,0.07,-1.2,6.6,1.6
2014,02,01,,0.25,0,0.07,,6.7,1.6
2014,03,01,,0.25,0,0.08,,6.7,1.7
2014,04,01,,0.25,0,0.09,4,6.2,1.8
2014,05,01,,0.25,0,0.09,,6.3,2.0
2014,06,01,,0.25,0,0.1,,6.1,1.9
2014,07,01,,0.25,0,0.09,5,6.2,1.9
2014,08,01,,0.25,0,0.09,,6.2,1.7
2014,09,01,,0.25,0,0.09,,5.9,1.7
2014,10,01,,0.25,0,0.09,2.3,5.7,1.8
2014,11,01,,0.25,0,0.09,,5.8,1.7
2014,12,01,,0.25,0,0.12,,5.6,1.6
2015,01,01,,0.25,0,0.11,2,5.7,1.6
2015,02,01,,0.25,0,0.11,,5.5,1.7
2015,03,01,,0.25,0,0.11,,5.4,1.8
2015,04,01,,0.25,0,0.12,2.6,5.4,1.8
2015,05,01,,0.25,0,0.12,,5.5,1.7
2015,06,01,,0.25,0,0.13,,5.3,1.8
2015,07,01,,0.25,0,0.13,2,5.2,1.8
2015,08,01,,0.25,0,0.14,,5.1,1.8
2015,09,01,,0.25,0,0.14,,5,1.9
2015,10,01,,0.25,0,0.12,0.9,5,1.9
2015,11,01,,0.25,0,0.12,,5,2.0
2015,12,01,,0.25,0,0.24,,5,2.1
2015,12,16,,0.5,0.25,,,,
2016,01,01,,0.5,0.25,0.34,0.8,4.9,2.2
2016,02,01,,0.5,0.25,0.38,,4.9,2.3
2016,03,01,,0.5,0.25,0.36,,5,2.2
2016,04,01,,0.5,0.25,0.37,1.4,5,2.1
2016,05,01,,0.5,0.25,0.37,,4.7,2.2
2016,06,01,,0.5,0.25,0.38,,4.9,2.2
2016,07,01,,0.5,0.25,0.39,3.5,4.9,2.2
2016,08,01,,0.5,0.25,0.4,,4.9,2.3
2016,09,01,,0.5,0.25,0.4,,4.9,2.2
2016,10,01,,0.5,0.25,0.4,1.9,4.8,2.1
2016,11,01,,0.5,0.25,0.41,,4.6,2.1
2016,12,01,,0.5,0.25,0.54,,4.7,2.2
2016,12,14,,0.75,0.5,,,,
2017,01,01,,0.75,0.5,0.65,,4.8,2.3
2017,02,01,,0.75,0.5,0.66,,4.7,2.2
2017,03,01,,0.75,0.5,,,,
2017,03,16,,1,0.75,,,,
